t(s)	ch1x	ch1y
9.894530e+00	9.348257e-01	3.551070e-01
9.895014e+00	9.335804e-01	3.583679e-01
9.895460e+00	9.323238e-01	3.616246e-01
9.895784e+00	9.310558e-01	3.648768e-01
9.896091e+00	9.297765e-01	3.681246e-01
9.896355e+00	9.284858e-01	3.713678e-01
9.896625e+00	9.271839e-01	3.746066e-01
9.910216e+00	9.258706e-01	3.778408e-01
9.910569e+00	9.245460e-01	3.810704e-01
9.910930e+00	9.232102e-01	3.842953e-01
9.911357e+00	9.218632e-01	3.875156e-01
9.911707e+00	9.205049e-01	3.907311e-01
9.912043e+00	9.191353e-01	3.939419e-01
9.912384e+00	9.177546e-01	3.971479e-01
9.912684e+00	9.163627e-01	4.003490e-01
9.925533e+00	9.149597e-01	4.035453e-01
9.925902e+00	9.135455e-01	4.067366e-01
9.926312e+00	9.121201e-01	4.099230e-01
9.926653e+00	9.106837e-01	4.131044e-01
9.926996e+00	9.092361e-01	4.162808e-01
9.927303e+00	9.077775e-01	4.194521e-01
9.927610e+00	9.063078e-01	4.226183e-01
9.928080e+00	9.048271e-01	4.257793e-01
9.941019e+00	9.033353e-01	4.289351e-01
9.941450e+00	9.018325e-01	4.320857e-01
9.941893e+00	9.003188e-01	4.352311e-01
9.942318e+00	8.987940e-01	4.383711e-01
9.942709e+00	8.972584e-01	4.415059e-01
9.943079e+00	8.957118e-01	4.446352e-01
9.943423e+00	8.941542e-01	4.477591e-01
9.944110e+00	8.925858e-01	4.508775e-01
9.956042e+00	8.910065e-01	4.539905e-01
9.956372e+00	8.894164e-01	4.570979e-01
9.956698e+00	8.878154e-01	4.601998e-01
9.957033e+00	8.862036e-01	4.632960e-01
9.957341e+00	8.845810e-01	4.663866e-01
9.957644e+00	8.829476e-01	4.694716e-01
9.958060e+00	8.813035e-01	4.725508e-01
9.971195e+00	8.796486e-01	4.756242e-01
9.971462e+00	8.779830e-01	4.786919e-01
9.971732e+00	8.763067e-01	4.817537e-01
9.972007e+00	8.746197e-01	4.848096e-01
9.972283e+00	8.729221e-01	4.878597e-01
9.972523e+00	8.712138e-01	4.909038e-01
9.972762e+00	8.694949e-01	4.939419e-01
9.986953e+00	8.677655e-01	4.969740e-01
9.987154e+00	8.660254e-01	5.000000e-01
9.987354e+00	8.642748e-01	5.030199e-01
9.987564e+00	8.625137e-01	5.060338e-01
9.987775e+00	8.607420e-01	5.090414e-01
9.987987e+00	8.589599e-01	5.120429e-01
9.988199e+00	8.571673e-01	5.150381e-01
9.988412e+00	8.553643e-01	5.180270e-01
1.000230e+01	8.535508e-01	5.210096e-01
1.000254e+01	8.517269e-01	5.239859e-01
1.000278e+01	8.498927e-01	5.269558e-01
1.000302e+01	8.480481e-01	5.299193e-01
1.000327e+01	8.461932e-01	5.328763e-01
1.000354e+01	8.443279e-01	5.358268e-01
1.000380e+01	8.424524e-01	5.387708e-01
1.000404e+01	8.405666e-01	5.417082e-01
1.001743e+01	8.386706e-01	5.446390e-01
1.001768e+01	8.367643e-01	5.475632e-01
1.001792e+01	8.348479e-01	5.504807e-01
1.001824e+01	8.329212e-01	5.533915e-01
1.001852e+01	8.309845e-01	5.562956e-01
1.001878e+01	8.290376e-01	5.591929e-01
1.001904e+01	8.270806e-01	5.620834e-01
1.002008e+01	8.251135e-01	5.649670e-01
1.003252e+01	8.231364e-01	5.678437e-01
1.003273e+01	8.211492e-01	5.707136e-01
1.003294e+01	8.191520e-01	5.735764e-01
1.003315e+01	8.171449e-01	5.764323e-01
1.003343e+01	8.151278e-01	5.792812e-01
1.003366e+01	8.131008e-01	5.821230e-01
1.003404e+01	8.110638e-01	5.849577e-01
1.004816e+01	8.090170e-01	5.877853e-01
1.004842e+01	8.069603e-01	5.906057e-01
1.004866e+01	8.048938e-01	5.934189e-01
1.004897e+01	8.028175e-01	5.962249e-01
1.004922e+01	8.007314e-01	5.990236e-01
1.004946e+01	7.986355e-01	6.018150e-01
1.004970e+01	7.965299e-01	6.045991e-01
1.005003e+01	7.944146e-01	6.073758e-01
1.006390e+01	7.922896e-01	6.101452e-01
1.006419e+01	7.901550e-01	6.129071e-01
1.006442e+01	7.880108e-01	6.156615e-01
1.006471e+01	7.858569e-01	6.184084e-01
1.006496e+01	7.836935e-01	6.211478e-01
1.006517e+01	7.815205e-01	6.238796e-01
1.006537e+01	7.793380e-01	6.266038e-01
1.006599e+01	7.771460e-01	6.293204e-01
1.008005e+01	7.749445e-01	6.320293e-01
1.008030e+01	7.727336e-01	6.347305e-01
1.008052e+01	7.705132e-01	6.374240e-01
1.008078e+01	7.682835e-01	6.401097e-01
1.008099e+01	7.660444e-01	6.427876e-01
1.008120e+01	7.637960e-01	6.454577e-01
1.008141e+01	7.615383e-01	6.481199e-01
1.008199e+01	7.592713e-01	6.507742e-01
1.009609e+01	7.569951e-01	6.534206e-01
1.009641e+01	7.547096e-01	6.560590e-01
1.009662e+01	7.524149e-01	6.586895e-01
1.009683e+01	7.501111e-01	6.613119e-01
1.009704e+01	7.477981e-01	6.639262e-01
1.009724e+01	7.454760e-01	6.665325e-01
1.009744e+01	7.431448e-01	6.691306e-01
1.009805e+01	7.408046e-01	6.717206e-01
1.011214e+01	7.384553e-01	6.743024e-01
1.011259e+01	7.360971e-01	6.768760e-01
1.011302e+01	7.337299e-01	6.794413e-01
1.011343e+01	7.313537e-01	6.819984e-01
1.011380e+01	7.289686e-01	6.845471e-01
1.011410e+01	7.265747e-01	6.870875e-01
1.011438e+01	7.241719e-01	6.896195e-01
1.011465e+01	7.217602e-01	6.921432e-01
1.012805e+01	7.193398e-01	6.946584e-01
1.012846e+01	7.169106e-01	6.971651e-01
1.012880e+01	7.144727e-01	6.996633e-01
1.012916e+01	7.120260e-01	7.021531e-01
1.012945e+01	7.095707e-01	7.046342e-01
1.012971e+01	7.071068e-01	7.071068e-01
1.012997e+01	7.046342e-01	7.095707e-01
1.013022e+01	7.021531e-01	7.120260e-01
1.014276e+01	6.996633e-01	7.144727e-01
1.014320e+01	6.971651e-01	7.169106e-01
1.014361e+01	6.946584e-01	7.193398e-01
1.014410e+01	6.921432e-01	7.217602e-01
1.014452e+01	6.896195e-01	7.241719e-01
1.014493e+01	6.870875e-01	7.265747e-01
1.014527e+01	6.845471e-01	7.289686e-01
1.014610e+01	6.819984e-01	7.313537e-01
1.015826e+01	6.794413e-01	7.337299e-01
1.015862e+01	6.768760e-01	7.360971e-01
1.015898e+01	6.743024e-01	7.384553e-01
1.015935e+01	6.717206e-01	7.408046e-01
1.015989e+01	6.691306e-01	7.431448e-01
1.016028e+01	6.665325e-01	7.454760e-01
1.016062e+01	6.639262e-01	7.477981e-01
1.017322e+01	6.613119e-01	7.501111e-01
1.017350e+01	6.586895e-01	7.524149e-01
1.017379e+01	6.560590e-01	7.547096e-01
1.017409e+01	6.534206e-01	7.569951e-01
1.017438e+01	6.507742e-01	7.592713e-01
1.017464e+01	6.481199e-01	7.615383e-01
1.017490e+01	6.454577e-01	7.637960e-01
1.017599e+01	6.427876e-01	7.660444e-01
1.018918e+01	6.401097e-01	7.682835e-01
1.018941e+01	6.374240e-01	7.705132e-01
1.018973e+01	6.347305e-01	7.727336e-01
1.018998e+01	6.320293e-01	7.749445e-01
1.019021e+01	6.293204e-01	7.771460e-01
1.019045e+01	6.266038e-01	7.793380e-01
1.019069e+01	6.238796e-01	7.815205e-01
1.020389e+01	6.211478e-01	7.836935e-01
1.020416e+01	6.184084e-01	7.858569e-01
1.020442e+01	6.156615e-01	7.880108e-01
1.020471e+01	6.129071e-01	7.901550e-01
1.020499e+01	6.101452e-01	7.922896e-01
1.020526e+01	6.073758e-01	7.944146e-01
1.020555e+01	6.045991e-01	7.965299e-01
1.020608e+01	6.018150e-01	7.986355e-01
1.022026e+01	5.990236e-01	8.007314e-01
1.022054e+01	5.962249e-01	8.028175e-01
1.022084e+01	5.934189e-01	8.048938e-01
1.022113e+01	5.906057e-01	8.069603e-01
1.022143e+01	5.877853e-01	8.090170e-01
1.022173e+01	5.849577e-01	8.110638e-01
1.022203e+01	5.821230e-01	8.131008e-01
1.022228e+01	5.792812e-01	8.151278e-01
1.023617e+01	5.764323e-01	8.171449e-01
1.023647e+01	5.735764e-01	8.191520e-01
1.023682e+01	5.707136e-01	8.211492e-01
1.023713e+01	5.678437e-01	8.231364e-01
1.023744e+01	5.649670e-01	8.251135e-01
1.023775e+01	5.620834e-01	8.270806e-01
1.023807e+01	5.591929e-01	8.290376e-01
1.023836e+01	5.562956e-01	8.309845e-01
1.025230e+01	5.533915e-01	8.329212e-01
1.025255e+01	5.504807e-01	8.348479e-01
1.025280e+01	5.475632e-01	8.367643e-01
1.025311e+01	5.446390e-01	8.386706e-01
1.025339e+01	5.417082e-01	8.405666e-01
1.025366e+01	5.387708e-01	8.424524e-01
1.025393e+01	5.358268e-01	8.443279e-01
1.025420e+01	5.328763e-01	8.461932e-01
1.026764e+01	5.299193e-01	8.480481e-01
1.026790e+01	5.269558e-01	8.498927e-01
1.026817e+01	5.239859e-01	8.517269e-01
1.026843e+01	5.210096e-01	8.535508e-01
1.026870e+01	5.180270e-01	8.553643e-01
1.026898e+01	5.150381e-01	8.571673e-01
1.026923e+01	5.120429e-01	8.589599e-01
1.027000e+01	5.090414e-01	8.607420e-01
1.028314e+01	5.060338e-01	8.625137e-01
1.028335e+01	5.030199e-01	8.642748e-01
1.028356e+01	5.000000e-01	8.660254e-01
1.028377e+01	4.969740e-01	8.677655e-01
1.028404e+01	4.939419e-01	8.694949e-01
1.028427e+01	4.909038e-01	8.712138e-01
1.028450e+01	4.878597e-01	8.729221e-01
1.029831e+01	4.848096e-01	8.746197e-01
1.029856e+01	4.817537e-01	8.763067e-01
1.029880e+01	4.786919e-01	8.779830e-01
1.029903e+01	4.756242e-01	8.796486e-01
1.029927e+01	4.725508e-01	8.813035e-01
1.029950e+01	4.694716e-01	8.829476e-01
1.029973e+01	4.663866e-01	8.845810e-01
1.030002e+01	4.632960e-01	8.862036e-01
1.031408e+01	4.601998e-01	8.878154e-01
1.031432e+01	4.570979e-01	8.894164e-01
1.031455e+01	4.539905e-01	8.910065e-01
1.031475e+01	4.508775e-01	8.925858e-01
1.031497e+01	4.477591e-01	8.941542e-01
1.031518e+01	4.446352e-01	8.957118e-01
1.031540e+01	4.415059e-01	8.972584e-01
1.031599e+01	4.383711e-01	8.987940e-01
1.033024e+01	4.352311e-01	9.003188e-01
1.033052e+01	4.320857e-01	9.018325e-01
1.033074e+01	4.289351e-01	9.033353e-01
1.033096e+01	4.257793e-01	9.048271e-01
1.033117e+01	4.226183e-01	9.063078e-01
1.033134e+01	4.194521e-01	9.077775e-01
1.033152e+01	4.162808e-01	9.092361e-01
1.033197e+01	4.131044e-01	9.106837e-01
1.034544e+01	4.099230e-01	9.121201e-01
1.034576e+01	4.067366e-01	9.135455e-01
1.034608e+01	4.035453e-01	9.149597e-01
1.034638e+01	4.003490e-01	9.163627e-01
1.034667e+01	3.971479e-01	9.177546e-01
1.034696e+01	3.939419e-01	9.191353e-01
1.034720e+01	3.907311e-01	9.205049e-01
1.034805e+01	3.875156e-01	9.218632e-01
1.036139e+01	3.842953e-01	9.232102e-01
1.036181e+01	3.810704e-01	9.245460e-01
1.036223e+01	3.778408e-01	9.258706e-01
1.036263e+01	3.746066e-01	9.271839e-01
1.036309e+01	3.713678e-01	9.284858e-01
1.036342e+01	3.681246e-01	9.297765e-01
1.036374e+01	3.648768e-01	9.310558e-01
1.036408e+01	3.616246e-01	9.323238e-01
1.037670e+01	3.583679e-01	9.335804e-01
1.037720e+01	3.551070e-01	9.348257e-01
1.037765e+01	3.518416e-01	9.360595e-01
1.037815e+01	3.485720e-01	9.372820e-01
1.037853e+01	3.452982e-01	9.384930e-01
1.037889e+01	3.420201e-01	9.396926e-01
1.037926e+01	3.387379e-01	9.408808e-01
1.038007e+01	3.354516e-01	9.420575e-01
1.039155e+01	3.321611e-01	9.432227e-01
1.039201e+01	3.288666e-01	9.443764e-01
1.039242e+01	3.255682e-01	9.455186e-01
1.039278e+01	3.222657e-01	9.466493e-01
1.039316e+01	3.189593e-01	9.477684e-01
1.039348e+01	3.156490e-01	9.488760e-01
1.039413e+01	3.123349e-01	9.499721e-01
1.040712e+01	3.090170e-01	9.510565e-01
1.040744e+01	3.056953e-01	9.521294e-01
1.040777e+01	3.023699e-01	9.531907e-01
1.040810e+01	2.990408e-01	9.542403e-01
1.040851e+01	2.957081e-01	9.552784e-01
1.040887e+01	2.923717e-01	9.563048e-01
1.040921e+01	2.890318e-01	9.573195e-01
1.041014e+01	2.856884e-01	9.583226e-01
1.042318e+01	2.823415e-01	9.593140e-01
1.042344e+01	2.789911e-01	9.602937e-01
1.042375e+01	2.756374e-01	9.612617e-01
1.042403e+01	2.722802e-01	9.622180e-01
1.042429e+01	2.689198e-01	9.631626e-01
1.042455e+01	2.655561e-01	9.640954e-01
1.042480e+01	2.621892e-01	9.650165e-01
1.042602e+01	2.588190e-01	9.659258e-01
1.043866e+01	2.554458e-01	9.668234e-01
1.043886e+01	2.520694e-01	9.677092e-01
1.043908e+01	2.486899e-01	9.685832e-01
1.043931e+01	2.453074e-01	9.694453e-01
1.043953e+01	2.419219e-01	9.702957e-01
1.043975e+01	2.385335e-01	9.711343e-01
1.044005e+01	2.351421e-01	9.719610e-01
1.045457e+01	2.317479e-01	9.727759e-01
1.045480e+01	2.283509e-01	9.735789e-01
1.045505e+01	2.249511e-01	9.743701e-01
1.045530e+01	2.215485e-01	9.751494e-01
1.045556e+01	2.181432e-01	9.759168e-01
1.045581e+01	2.147353e-01	9.766723e-01
1.045604e+01	2.113248e-01	9.774159e-01
1.045626e+01	2.079117e-01	9.781476e-01
1.047044e+01	2.044961e-01	9.788674e-01
1.047074e+01	2.010779e-01	9.795752e-01
1.047109e+01	1.976573e-01	9.802712e-01
1.047137e+01	1.942344e-01	9.809552e-01
1.047166e+01	1.908090e-01	9.816272e-01
1.047194e+01	1.873813e-01	9.822873e-01
1.047222e+01	1.839514e-01	9.829353e-01
1.047249e+01	1.805191e-01	9.835715e-01
1.048588e+01	1.770847e-01	9.841956e-01
1.048610e+01	1.736482e-01	9.848078e-01
1.048631e+01	1.702095e-01	9.854079e-01
1.048653e+01	1.667687e-01	9.859960e-01
1.048675e+01	1.633260e-01	9.865722e-01
1.048697e+01	1.598812e-01	9.871363e-01
1.048719e+01	1.564345e-01	9.876883e-01
1.048800e+01	1.529858e-01	9.882284e-01
1.050102e+01	1.495353e-01	9.887564e-01
1.050122e+01	1.460830e-01	9.892723e-01
1.050142e+01	1.426289e-01	9.897762e-01
1.050163e+01	1.391731e-01	9.902681e-01
1.050183e+01	1.357156e-01	9.907478e-01
1.050204e+01	1.322564e-01	9.912155e-01
1.050224e+01	1.287956e-01	9.916712e-01
1.051665e+01	1.253332e-01	9.921147e-01
1.051684e+01	1.218693e-01	9.925462e-01
1.051702e+01	1.184040e-01	9.929655e-01
1.051721e+01	1.149372e-01	9.933728e-01
1.051741e+01	1.114689e-01	9.937679e-01
1.051761e+01	1.079994e-01	9.941510e-01
1.051780e+01	1.045285e-01	9.945219e-01
1.051796e+01	1.010563e-01	9.948807e-01
1.053189e+01	9.758290e-02	9.952274e-01
1.053206e+01	9.410831e-02	9.955620e-01
1.053222e+01	9.063258e-02	9.958844e-01
1.053238e+01	8.715574e-02	9.961947e-01
1.053254e+01	8.367784e-02	9.964929e-01
1.053270e+01	8.019892e-02	9.967789e-01
1.053287e+01	7.671903e-02	9.970528e-01
1.053398e+01	7.323820e-02	9.973145e-01
1.054843e+01	6.975647e-02	9.975641e-01
1.054860e+01	6.627390e-02	9.978015e-01
1.054876e+01	6.279052e-02	9.980267e-01
1.054893e+01	5.930637e-02	9.982398e-01
1.054910e+01	5.582150e-02	9.984408e-01
1.054928e+01	5.233596e-02	9.986295e-01
1.054946e+01	4.884977e-02	9.988061e-01
1.055003e+01	4.536299e-02	9.989706e-01
1.056380e+01	4.187565e-02	9.991228e-01
1.056407e+01	3.838781e-02	9.992629e-01
1.056432e+01	3.489950e-02	9.993908e-01
1.056455e+01	3.141076e-02	9.995066e-01
1.056477e+01	2.792164e-02	9.996101e-01
1.056500e+01	2.443218e-02	9.997015e-01
1.056521e+01	2.094242e-02	9.997807e-01
1.056599e+01	1.745241e-02	9.998477e-01
1.057902e+01	1.396218e-02	9.999025e-01
1.057934e+01	1.047178e-02	9.999452e-01
1.057964e+01	6.981260e-03	9.999756e-01
1.057994e+01	3.490651e-03	9.999939e-01
1.058023e+01	5.252522e-13	1.000000e+00
1.058051e+01	-3.490651e-03	9.999939e-01
1.058077e+01	-6.981260e-03	9.999756e-01
1.059535e+01	-1.047178e-02	9.999452e-01
1.059583e+01	-1.396218e-02	9.999025e-01
1.059628e+01	-1.745241e-02	9.998477e-01
1.059669e+01	-2.094242e-02	9.997807e-01
1.059705e+01	-2.443218e-02	9.997015e-01
1.059737e+01	-2.792164e-02	9.996101e-01
1.059768e+01	-3.141076e-02	9.995066e-01
1.059797e+01	-3.489950e-02	9.993908e-01
1.059823e+01	-3.838781e-02	9.992629e-01
1.061048e+01	-4.187565e-02	9.991228e-01
1.061092e+01	-4.536299e-02	9.989706e-01
1.061138e+01	-4.884977e-02	9.988061e-01
1.061194e+01	-5.233596e-02	9.986295e-01
1.061230e+01	-5.582150e-02	9.984408e-01
1.061263e+01	-5.930637e-02	9.982398e-01
1.061295e+01	-6.279052e-02	9.980267e-01
1.061404e+01	-6.627390e-02	9.978015e-01
1.062636e+01	-6.975647e-02	9.975641e-01
1.062675e+01	-7.323820e-02	9.973145e-01
1.062712e+01	-7.671903e-02	9.970528e-01
1.062749e+01	-8.019892e-02	9.967789e-01
1.062788e+01	-8.367784e-02	9.964929e-01
1.062843e+01	-8.715574e-02	9.961947e-01
1.062871e+01	-9.063258e-02	9.958844e-01
1.064171e+01	-9.410831e-02	9.955620e-01
1.064206e+01	-9.758290e-02	9.952274e-01
1.064240e+01	-1.010563e-01	9.948807e-01
1.064272e+01	-1.045285e-01	9.945219e-01
1.064303e+01	-1.079994e-01	9.941510e-01
1.064332e+01	-1.114689e-01	9.937679e-01
1.064367e+01	-1.149372e-01	9.933728e-01
1.064409e+01	-1.184040e-01	9.929655e-01
1.065745e+01	-1.218693e-01	9.925462e-01
1.065776e+01	-1.253332e-01	9.921147e-01
1.065805e+01	-1.287956e-01	9.916712e-01
1.065836e+01	-1.322564e-01	9.912155e-01
1.065867e+01	-1.357156e-01	9.907478e-01
1.065898e+01	-1.391731e-01	9.902681e-01
1.065930e+01	-1.426289e-01	9.897762e-01
1.066008e+01	-1.460830e-01	9.892723e-01
1.067248e+01	-1.495353e-01	9.887564e-01
1.067279e+01	-1.529858e-01	9.882284e-01
1.067310e+01	-1.564345e-01	9.876883e-01
1.067351e+01	-1.598812e-01	9.871363e-01
1.067384e+01	-1.633260e-01	9.865722e-01
1.067417e+01	-1.667687e-01	9.859960e-01
1.067451e+01	-1.702095e-01	9.854079e-01
1.068810e+01	-1.736482e-01	9.848078e-01
1.068844e+01	-1.770847e-01	9.841956e-01
1.068880e+01	-1.805191e-01	9.835715e-01
1.068913e+01	-1.839514e-01	9.829353e-01
1.068946e+01	-1.873813e-01	9.822873e-01
1.068978e+01	-1.908090e-01	9.816272e-01
1.069007e+01	-1.942344e-01	9.809552e-01
1.069034e+01	-1.976573e-01	9.802712e-01
1.070380e+01	-2.010779e-01	9.795752e-01
1.070400e+01	-2.044961e-01	9.788674e-01
1.070421e+01	-2.079117e-01	9.781476e-01
1.070444e+01	-2.113248e-01	9.774159e-01
1.070467e+01	-2.147353e-01	9.766723e-01
1.070489e+01	-2.181432e-01	9.759168e-01
1.070510e+01	-2.215485e-01	9.751494e-01
1.070598e+01	-2.249511e-01	9.743701e-01
1.071907e+01	-2.283509e-01	9.735789e-01
1.071927e+01	-2.317479e-01	9.727759e-01
1.071947e+01	-2.351421e-01	9.719610e-01
1.071968e+01	-2.385335e-01	9.711343e-01
1.071989e+01	-2.419219e-01	9.702957e-01
1.072010e+01	-2.453074e-01	9.694453e-01
1.072031e+01	-2.486899e-01	9.685832e-01
1.073507e+01	-2.520694e-01	9.677092e-01
1.073529e+01	-2.554458e-01	9.668234e-01
1.073553e+01	-2.588190e-01	9.659258e-01
1.073576e+01	-2.621892e-01	9.650165e-01
1.073599e+01	-2.655561e-01	9.640954e-01
1.073621e+01	-2.689198e-01	9.631626e-01
1.073642e+01	-2.722802e-01	9.622180e-01
1.073664e+01	-2.756374e-01	9.612617e-01
1.075102e+01	-2.789911e-01	9.602937e-01
1.075115e+01	-2.823415e-01	9.593140e-01
1.075130e+01	-2.856884e-01	9.583226e-01
1.075143e+01	-2.890318e-01	9.573195e-01
1.075156e+01	-2.923717e-01	9.563048e-01
1.075169e+01	-2.957081e-01	9.552784e-01
1.075182e+01	-2.990408e-01	9.542403e-01
1.075195e+01	-3.023699e-01	9.531907e-01
1.076636e+01	-3.056953e-01	9.521294e-01
1.076653e+01	-3.090170e-01	9.510565e-01
1.076669e+01	-3.123349e-01	9.499721e-01
1.076685e+01	-3.156490e-01	9.488760e-01
1.076702e+01	-3.189593e-01	9.477684e-01
1.076718e+01	-3.222657e-01	9.466493e-01
1.076733e+01	-3.255682e-01	9.455186e-01
1.076800e+01	-3.288666e-01	9.443764e-01
1.078156e+01	-3.321611e-01	9.432227e-01
1.078175e+01	-3.354516e-01	9.420575e-01
1.078195e+01	-3.387379e-01	9.408808e-01
1.078213e+01	-3.420201e-01	9.396926e-01
1.078231e+01	-3.452982e-01	9.384930e-01
1.078248e+01	-3.485720e-01	9.372820e-01
1.078266e+01	-3.518416e-01	9.360595e-01
1.079725e+01	-3.551070e-01	9.348257e-01
1.079750e+01	-3.583679e-01	9.335804e-01
1.079774e+01	-3.616246e-01	9.323238e-01
1.079799e+01	-3.648768e-01	9.310558e-01
1.079822e+01	-3.681246e-01	9.297765e-01
1.079846e+01	-3.713678e-01	9.284858e-01
1.079868e+01	-3.746066e-01	9.271839e-01
1.079891e+01	-3.778408e-01	9.258706e-01
1.079997e+01	-3.810704e-01	9.245460e-01
1.081264e+01	-3.842953e-01	9.232102e-01
1.081292e+01	-3.875156e-01	9.218632e-01
1.081315e+01	-3.907311e-01	9.205049e-01
1.081337e+01	-3.939419e-01	9.191353e-01
1.081355e+01	-3.971479e-01	9.177546e-01
1.081374e+01	-4.003490e-01	9.163627e-01
1.081400e+01	-4.035453e-01	9.149597e-01
1.082827e+01	-4.067366e-01	9.135455e-01
1.082861e+01	-4.099230e-01	9.121201e-01
1.082894e+01	-4.131044e-01	9.106837e-01
1.082928e+01	-4.162808e-01	9.092361e-01
1.082958e+01	-4.194521e-01	9.077775e-01
1.082986e+01	-4.226183e-01	9.063078e-01
